"a, an","indefinite, article","а,",
coach,Noun Verb,тренер,The soccer coach provided guidance and training to the team.
coal,Noun,уголь,The coal mine is an important source of energy for the region.
coast,Noun,берег,They spent their vacation relaxing on the sunny coast.
coat,Noun,Пальто,She wore a warm coat to protect herself from the cold weather.
code,Noun,код,The programmer wrote a complex code for the new software.
coffee,Noun,кофе,I start my day with a cup of coffee to wake up.
coin,Noun,монета,He found a shiny coin on the street and picked it up.
cold,Adjective Noun,холодный,The cold wind made her shiver and wrap her coat tightly.
collapse,Verb Noun,коллапс,The building collapsed due to a structural failure.
colleague,Noun,коллега,She enjoys working with her colleagues on challenging projects.
collect,Verb,собирать,He likes to collect stamps from different countries.
collection,Noun,коллекция,Her collection of antique books is displayed in a glass cabinet.
college,Noun,колледж,He is studying engineering at a prestigious college.
colour,Noun,цвет,The artist used bold and vibrant colors in her painting.
coloured,Adjective,цветной,She prefers to wear brightly coloured clothes.
column,Noun,колонка,The newspaper article appeared in the opinion column.
combination,Noun,сочетание,The combination of sweet and salty flavors created a unique taste.
combine,Verb,комбинировать,She likes to combine different ingredients to create new recipes.
come,Verb,приходить,Please come to the meeting at 9 a.m.
comedy,Noun,комедия,We watched a hilarious comedy at the theater last night.
comfort,Noun Verb,комфорт,The soft cushions provide comfort while sitting on the couch.
comfortable,Adjective,удобный,The hotel room had a comfortable bed and spacious bathroom.
command,Noun Verb,команда,The general gave a command to his troops to advance.
comment,Noun Verb,комментарий,She left a positive comment on the blog post.
commercial,Adjective Noun,коммерческая,The commercial on TV advertised a new cleaning product.
commission,Noun Verb,комиссия,The artist received a commission to paint a mural in the city.
commit,Verb,совершить,He made a decision to commit to a healthier lifestyle.
commitment,Noun,обязательство,She made a commitment to volunteer at the local shelter.
committee,Noun,комитет,The committee reviewed the proposal and made recommendations.
common,Adjective Noun,общий,It is common to see squirrels in the park.
commonly,Adverb,обычно,People commonly use smartphones for communication.
communicate,Verb,общаться,They used sign language to communicate with each other.
communication,Noun,связь,Effective communication is essential in building strong relationships.
community,Noun,сообщество,The local community organized a neighborhood cleanup event.
company,Noun,Компания,She works for a multinational company as a marketing manager.
compare,Verb,сравнить,She decided to compare prices before making a purchase.
comparison,Noun,сравнение,The essay included a detailed comparison of two historical events.
compete,Verb,конкурировать,The athletes will compete in the upcoming track and field competition.
competition,Noun,конкуренция,The business faced tough competition from rival companies.
competitor,Noun,конкурент,He is a strong competitor in the field of professional cycling.
competitive,Adjective,конкурентный,The company offers competitive prices to attract customers.
complain,Verb,Пожаловаться,She went to the manager to complain about the poor service.
complaint,Noun,жалоба,He lodged a complaint with the customer service department.
complete,Adjective Verb,полный,She handed in her complete homework assignment on time.
completely,Adverb,полностью,The puzzle was completely solved by the young boy.
complex,"Adjective, Noun",сложный,The math problem was too complex for me to solve.
complicated,Adjective,сложно,The instructions for assembling the furniture were complicated.
component,Noun,составная часть,The engine is a critical component of a car.
computer,Noun,компьютер,She uses her computer for work and entertainment.
concentrate,Verb,концентрат,She needed to concentrate on her studies for the upcoming exams.
concentration,Noun,концентрация,The high concentration of chemicals required careful handling.
concept,Noun,концепция,The new product was based on a unique concept.
concern,Noun Verb,беспокойство,Her safety was a major concern for her family.
concerned,Adjective,обеспокоенный,The parents were concerned about their child's safety.
concert,Noun,концерт,They bought tickets to see their favorite band in concert.
conclude,Verb,заключать,The research study concluded that exercise has many health benefits.
conclusion,Noun,вывод,"In conclusion, I would like to thank everyone for their support."
condition,Noun,состояние,He was in a critical condition after the accident.
conduct,Verb Noun,поведение,The teacher commended the student for his excellent conduct.
conference,Noun,конференция,She attended an international conference on climate change.
confidence,Noun,уверенность,Her confidence grew as she gained more experience in her field.
confident,Adjective,уверенный,He felt confident that he would succeed in his new job.
confirm,Verb,подтверждения,Please confirm your attendance at the meeting by tomorrow.
conflict,Noun Verb,конфликт,The conflict between the two countries escalated into a war.
confuse,Verb,запутывать,"The complex instructions confused him, so he asked for clarification."
confused,Adjective,смущенный,She looked confused and didn't know which way to go.
confusing,Adjective,путая,"The road signs were confusing, leading to wrong directions."
